"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 22 02:53:30 UTC 2023","Fri Sep 22 02:53:35 UTC 2023","4853","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Sep 22 03:21:54 UTC 2023","Fri Sep 22 03:21:54 UTC 2023","566","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Sep 22 03:59:50 UTC 2023","Fri Sep 22 03:59:58 UTC 2023","8064","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Sep 22 04:26:52 UTC 2023","Fri Sep 22 04:27:03 UTC 2023","10235","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Sep 22 04:00:03 UTC 2023","Fri Sep 22 04:00:04 UTC 2023","1419","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Sep 22 03:01:36 UTC 2023","Fri Sep 22 03:01:43 UTC 2023","7444","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Sep 22 02:27:33 UTC 2023","Fri Sep 22 02:27:40 UTC 2023","7494","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Sep 22 03:29:57 UTC 2023","Fri Sep 22 03:30:17 UTC 2023","19684","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Sep 22 03:46:26 UTC 2023","Fri Sep 22 03:46:29 UTC 2023","2849","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Sep 22 03:59:27 UTC 2023","Fri Sep 22 03:59:45 UTC 2023","17684","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Sep 22 03:37:47 UTC 2023","Fri Sep 22 03:38:01 UTC 2023","14188","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Sep 22 02:52:27 UTC 2023","Fri Sep 22 02:53:28 UTC 2023","60598","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Sep 22 02:57:56 UTC 2023","Fri Sep 22 02:58:00 UTC 2023","3609","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 22 03:49:33 UTC 2023","Fri Sep 22 03:49:51 UTC 2023","17933","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Sep 22 03:56:52 UTC 2023","Fri Sep 22 03:57:11 UTC 2023","19142","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Sep 22 03:01:17 UTC 2023","Fri Sep 22 03:01:36 UTC 2023","18934","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Sep 22 03:47:11 UTC 2023","Fri Sep 22 03:47:13 UTC 2023","2156","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Sep 22 03:46:29 UTC 2023","Fri Sep 22 03:46:33 UTC 2023","3582","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Sep 22 02:19:52 UTC 2023","Fri Sep 22 02:19:52 UTC 2023","73","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Sep 22 04:02:00 UTC 2023","Fri Sep 22 04:02:13 UTC 2023","13148","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Sep 22 02:29:39 UTC 2023","Fri Sep 22 02:29:45 UTC 2023","5608","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Sep 22 04:16:49 UTC 2023","Fri Sep 22 04:17:00 UTC 2023","10893","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Sep 22 04:14:46 UTC 2023","Fri Sep 22 04:14:50 UTC 2023","4299","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Sep 22 04:27:32 UTC 2023","Fri Sep 22 04:27:34 UTC 2023","2038","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Sep 22 02:58:58 UTC 2023","Fri Sep 22 02:58:59 UTC 2023","650","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Sep 22 02:57:48 UTC 2023","Fri Sep 22 02:57:56 UTC 2023","8265","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Sep 22 03:26:44 UTC 2023","Fri Sep 22 03:27:04 UTC 2023","19991","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Sep 22 02:19:52 UTC 2023","Fri Sep 22 02:20:00 UTC 2023","7856","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Sep 22 03:01:56 UTC 2023","Fri Sep 22 03:02:00 UTC 2023","3261","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 22 02:53:39 UTC 2023","Fri Sep 22 02:54:38 UTC 2023","58630","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Sep 22 02:20:00 UTC 2023","Fri Sep 22 02:20:11 UTC 2023","10674","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Sep 22 04:27:03 UTC 2023","Fri Sep 22 04:27:32 UTC 2023","29449","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Sep 22 04:02:13 UTC 2023","Fri Sep 22 04:02:38 UTC 2023","25321","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Sep 22 02:50:03 UTC 2023","Fri Sep 22 02:50:11 UTC 2023","8685","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Sep 22 03:01:45 UTC 2023","Fri Sep 22 03:01:56 UTC 2023","10989","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Sep 22 02:20:11 UTC 2023","Fri Sep 22 02:20:34 UTC 2023","23109","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Sep 22 03:59:50 UTC 2023","Fri Sep 22 03:59:50 UTC 2023","410","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Sep 22 02:23:22 UTC 2023","Fri Sep 22 02:23:27 UTC 2023","5148","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Sep 22 03:22:37 UTC 2023","Fri Sep 22 03:22:39 UTC 2023","1234","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Sep 22 04:14:16 UTC 2023","Fri Sep 22 04:14:19 UTC 2023","3118","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Sep 22 02:33:08 UTC 2023","Fri Sep 22 02:33:11 UTC 2023","3149","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 22 03:46:06 UTC 2023","Fri Sep 22 03:46:19 UTC 2023","13312","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Sep 22 02:27:10 UTC 2023","Fri Sep 22 02:27:33 UTC 2023","22941","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
